127.0.0.1, 2015-11-28 16:16:23, GET, /, HTTP/1.1, 303, 0.000968
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/default/index, HTTP/1.1, 200, 1.204298
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000412
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000448
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000377
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000481
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/css/skeleton.css, HTTP/1.1, 200, 0.000391
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.000424
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/css/superfish.css, HTTP/1.1, 200, 0.000329
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/js/superfish.js, HTTP/1.1, 200, 0.000352
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/images/poweredby.png, HTTP/1.1, 200, 0.000303
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/favicon.ico, HTTP/1.1, 200, 0.000369
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/images/arrows-ffffff.png, HTTP/1.1, 200, 0.000441
127.0.0.1, 2015-11-28 16:16:24, GET, /welcome/static/images/shadow.png, HTTP/1.1, 200, 0.000427
127.0.0.1, 2015-11-28 16:16:52, GET, /welcome/default/user/login, HTTP/1.1, 200, 0.027634
127.0.0.1, 2015-11-28 16:16:52, GET, /welcome/static/js/jquery.js, HTTP/1.1, 304, 0.000434
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/default/edit/welcome/controllers/default.py, HTTP/1.1, 303, 0.466750
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/default/index, HTTP/1.1, 200, 0.030868
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.000400
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.000252
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/js/web2py.js, HTTP/1.1, 200, 0.000242
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.000276
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/plugin_multiselect/jquery.multiselect.js, HTTP/1.1, 200, 0.000496
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/plugin_multiselect/jquery.multiselect.css, HTTP/1.1, 200, 0.000338
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000291
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/css/styles.css, HTTP/1.1, 200, 0.000236
127.0.0.1, 2015-11-28 16:17:00, GET, /admin/static/images/header_shadow.png, HTTP/1.1, 200, 0.000351
